run_accession,fastq_ftp,fastq_bytes,fastq_md5,submitted_ftp,submitted_bytes,submitted_md5,sra_ftp,sra_bytes,sra_md5
ERR054087,ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054087/ERR054087_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054087/ERR054087_2.fastq.gz,407523217;410236879,aacfcd4b776b679d3cf9798825640ed2;c6039f15608e2eeae94d3454e1a427a3,ftp.sra.ebi.ac.uk/vol1/run/ERR054/ERR054087/6692_4_nonhuman#8.bam,802740068,85c4e39f02d7b577770a6f5dcdc826d1,ftp.sra.ebi.ac.uk/vol1/err/ERR054/ERR054087,685480404,09667c9b9f85e8992e2719b321ab0464
ERR054088,ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054088/ERR054088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054088/ERR054088_2.fastq.gz,136419588;137277757,62882a3f641d04e730dc7e96c8487525;d4f084d7f59213267b83f91dcd696a02,ftp.sra.ebi.ac.uk/vol1/run/ERR054/ERR054088/6692_4_nonhuman#9.bam,270213923,345d7a79893b6e416f26532842fb70e5,ftp.sra.ebi.ac.uk/vol1/err/ERR054/ERR054088,229896442,896f39c57e79b5283a2a7fcc59b71eeb
ERR054089,ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054089/ERR054089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054089/ERR054089_2.fastq.gz,780659918;790931783,70dd6a6d9a73b4167f82be076984d1aa;9f38e71b099498e0ebef576e808f22cb,ftp.sra.ebi.ac.uk/vol1/run/ERR054/ERR054089/6692_4_nonhuman#10.bam,1548821856,80a9906f14e2d658be7bddb14e208689,ftp.sra.ebi.ac.uk/vol1/err/ERR054/ERR054089,1315416041,d698393fae3638b3ee8e29f995d9b08e
ERR111709,ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/ERR111709/ERR111709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/ERR111709/ERR111709_2.fastq.gz,1002534470;1002460792,48d9fe168a0d3bd78b92ec5bc2dde910;733ca4c5c30a078ef799b955d71bb067,ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR111709/7346_4#49.bam,1976412613,bfcfdda2655e35e04b53032b24730db4,ftp.sra.ebi.ac.uk/vol1/err/ERR111/ERR111709,1648811853,6d4890f1c0aa8a3cb04433a427585119
ERR111710,ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/ERR111710/ERR111710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/ERR111710/ERR111710_2.fastq.gz,854406023;856917556,03c8b3a2a4d4e214d5c1d74a9a196b1f;13244029d1c8c534b06596ae552b36fb,ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR111710/7346_4#50.bam,1689320858,ac23bc0ac476bb1105628053bc693eff,ftp.sra.ebi.ac.uk/vol1/err/ERR111/ERR111710,1405607921,086e0afe1058479b4024a3466436d1ec
ERR111711,ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/ERR111711/ERR111711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/ERR111711/ERR111711_2.fastq.gz,1700128830;1704476994,775c90695fd6779a02addf579932cdb3;5ded6dc7199116e3c8ea81c081ac954a,ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR111711/7346_4#51.bam,3350433691,8b9dc98cf77edeb20b0251a79589c38b,ftp.sra.ebi.ac.uk/vol1/err/ERR111/ERR111711,2801100587,7eccc3e2ec003ee3f17d80873ed1d26e
ERR111712,ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/ERR111712/ERR111712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/ERR111712/ERR111712_2.fastq.gz,1350513665;1352735224,426b1225a07a91a3b113059c67c8b091;59fe33e97fdde409444a252279944acd,ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR111712/7346_4#52.bam,2661476840,edc428732a655b862599427b940ed80b,ftp.sra.ebi.ac.uk/vol1/err/ERR111/ERR111712,2225447382,74f7033c8fa728f97d21b5746c191f7d
ERR111713,ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/ERR111713/ERR111713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/ERR111713/ERR111713_2.fastq.gz,1322667452;1325019742,0e551762a65cea0f6dd154b14e65c5b0;16f58f5930a3660fde8a5800904ffc31,ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR111713/7346_4#53.bam,2613434950,07a1127f800b0a1499073eb7e61c24c3,ftp.sra.ebi.ac.uk/vol1/err/ERR111/ERR111713,2178355904,3f49da067bde442e069595b965d8b7b7
ERR111714,ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/ERR111714/ERR111714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/ERR111714/ERR111714_2.fastq.gz,1559735068;1564115117,5835785dd1f23de0b697759c1ac9fbe7;9b5018851dad7ec72cd717c1fc107834,ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR111714/7346_4#54.bam,3073203560,ce816758d5258810b543156c7ec35553,ftp.sra.ebi.ac.uk/vol1/err/ERR111/ERR111714,2569244108,891be15fcdc2074effd67e60c46c532d
ERR111715,ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/ERR111715/ERR111715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/ERR111715/ERR111715_2.fastq.gz,1251554696;1252290231,a794e3761cae44ada28ac853dfca6edc;859d7c04a12f51a2cb230d646f20b8c0,ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR111715/7346_4#55.bam,2464255722,8c249c08ca1d898459ba34af5bd3937c,ftp.sra.ebi.ac.uk/vol1/err/ERR111/ERR111715,2059759730,e73ef05ac0b90900eba81198b18483ce
